Object Number,Title,Period,Classification,Link Resource
1975.268.66,尾形乾山筆　定家詠十二ヶ月和歌 花鳥図　『拾遺愚草』　より六月|“Sixth Month” from Fujiwara no Teika’s “Birds and Flowers of the Twelve Months” ,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45276
29.100.514,元賀筆　ガマズミ属に山鵲図|Magpie on Viburnum Branch,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45326
36.100.52,秋の花に鶉図|Quail and Autumn Flowers,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45327
1975.268.64,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45329
1975.268.98a–p,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45331
1975.268.123,墨竹扇面図|Bamboo and Rocks by a Stream,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45332
1975.268.122,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45333
1979.407.2,鉄線下絵和歌色紙|Poem by Fujiwara no Okikaze with Underpainting of Clematis,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45334
1979.407.1,松花堂昭乗書・伝俵屋宗達下絵   和歌色紙  |Poem by Onakatomi Yoshinobu with Underpainting of Hollyhocks,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45335
1975.268.17,"集一切福徳三昧経.|Illustrated Frontispiece to the Sutra of Enlightenment through the Accumulation of Merit and Virtue, the So-called Jingoji Sutra",late Heian period (ca. 900–1185),Paintings,http://www.metmuseum.org/art/collection/search/45336
1975.268.124,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45340
"29.100.491, .492",三谷等宿筆　伝三谷等宿筆　松と椿に鷹・柳と椿に小禽図屏風|Hawks with Pine Trees and Camellias; Small Birds with Willows and Camellias,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45341
1975.268.97,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45352
21.174.1a–c,竹取物語|The Tale of the Bamboo Cutter,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45361
21.174.2a–d,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45362
1974.225.1a–x,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45363
1975.268.33,源氏物語絵巻  「澪標」|“Channel Markers” (Miotsukushi),"Nanbokuchō (1336–92) or Muromachi (1392–1573) period,",Paintings,http://www.metmuseum.org/art/collection/search/45366
29.100.475,"「六波羅行幸」　平治物語絵巻　断簡|Scene from “Imperial Visit to Rokuhara,” from The Tale of the Heiji Rebellion (Heiji monogatari)",Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45368
29.100.469,釈迦三尊像|Shaka (Shakyamuni) Triad,Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45369
29.100.470,聖徳太子絵伝図|Illustrated Biography of Prince Shōtoku (Shōtoku Taishi e-den),Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45370
29.100.471,聖徳太子絵伝図|Illustrated Biography of Prince Shōtoku (Shōtoku Taishi e-den),Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45371
29.160.29,伝春日基光筆　玄奘三蔵像|Portrait of Xuanzang (Genjō) with Attendant,Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45372
33.89,群仙図屏風|Immortals,early Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45373
14.76.10,列子御風図扇面 (Resshi gyofū zu senmen)|The Daoist Immortal Liezi Flying on a Cloud,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45374
"29.100.493, .494",誰が袖図屏風|Whose Sleeves? (Tagasode),Momoyama (1573–1615)–Edo period 1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45375
1976.24,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45376
62.98.5,御所車図|Imperial Carts (Gosho guruma),Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45377
1975.268.78,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45378
1975.268.114,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45379
57.138.1,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45380
1975.268.125,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45381
57.98,異国人交易図屏風|Foreign Merchants in Japanese Trade Port,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45382
"55.94.3, .4","俵屋宗達工房 大原御幸図屏風|Royal Visit to Ōhara, from The Tale of the Heike",Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45388
63.174.1–.3,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45389
57.156.3,酒井抱一筆　柿図屏風|Persimmon Tree,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45392
1975.268.99,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45393
1975.268.102,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45394
1975.268.113,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45395
14.76.32,雪兎図|Painting the Eyes on a Snow Rabbit,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45396
45.97.4,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45397
36.100.9,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45398
44.35.1,仏涅槃図|Death of the Historical Buddha (Nehan-zu),Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45417
1975.268.49,狩野探幽筆　月夜山水図|Landscape in Moonlight,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45418
1975.268.50,狩野探幽筆　月夜山水図|Landscape in Moonlight,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45419
1975.268.51,狩野探幽筆　月夜山水図|Landscape in Moonlight,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45420
1986.154,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45421
57.156.1,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45422
"17.118.114, .115",,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45423
1975.268.130,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45425
1975.268.103,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45426
94.18.1a–xx,源氏物語画帖|The Tale of Genji (Genji Monogatari),Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45427
25.224a–e,北野天神縁起絵巻|Illustrated Legends of the Kitano Tenjin Shrine (Kitano Tenjin engi emaki),Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45428
1984.346,三樹坡曉色图|View of the Kamo River from Sanbogi at Dawn,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45430
36.100.79,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45499
57.52.1,舞楽図巻|Bugaku Imperial Court Dance,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45520
1975.268.1,白描印相図巻|Scroll of Mudras,Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45523
1975.268.19,白衣観音図|White-Robed Kannon,Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45524
1975.268.36,神於寺縁起絵巻断簡|Scene from The Illustrated Legends of Jin’ōji Temple (Jin’ōji engi emaki),Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45525
14.76.61.16,,Meiji period (1868–1912),Paintings,http://www.metmuseum.org/art/collection/search/45526
45.97.5,曲技図巻|Acrobats,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45528
45.97.6,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45580
29.160.31,釈迦如来像|Shaka Nyorai,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45591
30.72.1,阿弥陀如来像|Welcoming Descent of Amida Buddha,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45592
52.126.25,阿弥陀二十五菩薩来迎図|Buddha and Attendants,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45593
14.76.54,当麻曼荼羅|Taima Mandala,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45594
30.72.3,十一面観音来迎図|Descent of Eleven-Headed Kannon,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45595
12.134.15,八字文殊菩薩像|Monju Bosatsu with Eight Sacred Sanskrit Syllables,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45596
29.100.462,弥勒菩薩像|Miroku Bosatsu,Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45597
25.215.102,地蔵来迎図|Welcoming Descent of Jizō,Kamakura (1185–1333)–Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45598
29.100.525,地蔵菩薩来迎図|Welcoming Descent of the Bodhisattva Jizō,Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45599
30.72.2,見返り地蔵菩薩図|The Bodhisattva Jizō “Looking Back”,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45601
69.139,地蔵菩薩像|Jizō Bosatsu,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45603
1975.268.5,真言諸尊図像抄|Scroll from the Compendium of Iconographic Drawings (Zuzōshō),Heian (794–1185) or Kamakura (1185–1333) period,Paintings,http://www.metmuseum.org/art/collection/search/45605
1975.268.25,衿羯羅童子像　|Kongara-doji,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45606
67.55.38,八童子図|Eight Attendants of Fudō Myōō,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45607
44.35.5,十二天像(月天)|Getten (Candradeva or Somadeva),Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45608
44.35.4,十二天像(梵天)|Daibonten (Mahabrahman),Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45609
44.35.3,十二天像(風天)|Fujin (wind god),Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45610
"X.87a, b",十二天像|Twelve Deva Kings (Jūniten),Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45611
1975.268.29,十二天像(梵天)|One of the Twelve Devas: Bonten,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45612
1975.268.30,十二天像(火天)|One of the Twelve Devas: Katen,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45613
1975.268.2,白描印相図巻|Scroll of Mudras,Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45614
1975.268.7,天部諸尊図像抄|Scroll 9 of Collected Iconography (Zuzōshō): Ten (Devas),Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45615
1975.268.4,宗観筆 九曜秘暦図像 |Iconographic Drawings of the Secrets of the Nine Luminaries,Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45616
1975.268.15,土曜図像|Iconographic Drawing of Saturn,Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45617
1975.268.8,"伝託磨為遠筆　月光菩薩像 「金胎仏画帖」断簡|Gakkō Bosatsu, from “Album of Buddhist Deities from the Diamond World and Womb World Mandalas” (“Kontai butsugajō”)",Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45618
1975.268.10,馬鳴菩薩図像|Iconographic Drawing of the Bodhisattva Memyō (Ashvaghosha),Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45619
1975.268.12,金剛夜叉明王|Kongōyasha Myōō,Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45620
1975.268.13,大威徳明王|Daiitoku Myōō,Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45621
"1975.268.14a, b",安底羅大将図像(付.裏書)|Anchira-taisho Jochi,Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45622
1975.268.11,弁財天十五童子像|Benzaiten and Fifteen Attendants,Kamakura period (1185–1333),Paintings,http://www.metmuseum.org/art/collection/search/45623
65.216.2,"『妙法蓮華経』　「薬草喩品第五」の内|“Parable of the Medicinal Herbs,” Chapter 5 of the Lotus Sutra ",Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/45624
1975.268.24,羅漢図（十六羅漢図の内）|Arhat from a series of sixteen Arhats,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45625
1975.268.23,羅漢図 （十六羅漢図の内）|Arhats,Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45626
29.100.441,羅漢図|Rakan,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45627
29.100.518,鑑真像 (Ganjin zō)|Portrait of Jianzhen,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45628
13.95.2,旧山宗英像|Portrait of Kyūzan Sōei,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45629
29.100.508,"聖徳太子孝養図 (Shotoku Taishi kōyō zu)""|Prince Shōtoku at Age Sixteen",Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45630
X.78,山王本地仏曼荼羅|Mandala of the Sannō Shrine Deities,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45631
51.60,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45632
1975.268.35,"一遍上人絵伝「遊行上人縁起絵」 断簡|A Nenbutsu Gathering at Ichiya, Kyoto, from the Illustrated Biography of the Monk Ippen and His Disciple Ta'a (Yugyō Shōnin engi-e)",Nanbokuchō period (1336–92),Paintings,http://www.metmuseum.org/art/collection/search/45633
1989.363.38,元  倪瓚 秋林野興圖 軸|Enjoying the Wilderness in an Autumn Grove,Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/45635
1973.120.8,元  倪瓚  虞山林壑圖  軸|Woods and Valleys of Mount Yu,Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/45636
1973.121.7,元　王蒙　丹崖翠壑圖　軸|Red Cliffs and Green Valleys,Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/45637
1975.268.40,粟に燕図|Millet and Sparrows,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45638
"62.98.2, .3",十二ヶ月花鳥図書画挿絵貼屏風|Birds and Flowers of the Twelve Months with Chinese Calligraphy,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45639
14.76.12,月見布袋図 (Tsukimi Hotei zu)|Hotei Admiring the Moon,Edo (1615–1868)–Meiji (1868–1912) period,Paintings,http://www.metmuseum.org/art/collection/search/45640
36.100.68,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45641
36.100.10,,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45642
"53.123.1, .2",秋冬景山水図|Landscapes of Autumn and Winter,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45643
36.100.72,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45645
59.80,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45646
1973.121.8,元  趙原 (元)  晴川送客圖  軸|Farewell by a Stream on a Clear Day,Yuan dynasty  (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/45647
36.100.96,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45648
29.100.529,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45649
1981.285.15,元/明   趙原   倣燕文貴范寬山水圖元/明   沈巽竹石   合卷|Landscape,Yuan (1271–1368) or Ming (1368–1644) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/45650
29.100.496,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45651
1973.121.4,元   方從義  雲山圖    卷|Cloudy Mountains,Yuan (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/45652
14.76.67a–l,,Edo (1615–1868)–Meji period (1868–1912,Paintings,http://www.metmuseum.org/art/collection/search/45653
25.215.53,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45654
12.37.134,元/明  呂敬甫  花蝶圖  軸 	|Flowers,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45655
1987.150,元末明初    佚名    絹本設色    嬰戯圖  軸|Children playing in the palace garden,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/45656
1981.285.16,元/明   趙原   倣燕文貴范寬山水圖  元/明   沈巽竹石   合卷|Bamboo grove,Yuan (1271–1368) or Ming (1368–1644) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/45658
1984.475.3,元/明   吳伯理   流水松風圖   軸|Dragon pine,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45659
1982.2.3,明    王紱    江山漁樂圖    卷|Joys of the Fisherman,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45661
47.18.44,"元/明   佚名  古木竹禽圖   團扇|Old Tree, Bamboo, and Birds",Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45662
52.186,明  佚名  溪鹿圖  冊頁|Deer by a Pine Stream,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45663
1989.363.42,明	佚名	樓觀松風圖	團扇|Palaces among Autumn Mountains,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45664
1989.363.43,明  佚名  樓閣江帆圖  團扇|Village and Temples in Jiangnan,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45665
23.33.3,"明   佚名   瑤臺獻壽圖   扇|Paying homage to Xiwangmu, the Queen Mother of the West",Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45666
1982.1.3,明  佚名  貍奴芭蕉圖  冊頁|Frolicking Kittens under a Banana Tree,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45667
1981.285.14,明  佚名  犬戲圖  冊頁|Puppies Playing beside a Palm Tree and Garden Rock,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45668
1981.285.10,明　周文靖　漁隱圖　軸|Rustic retreat among fishermen,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45669
47.18.130,"一鱖禾蟹圖|Flowers, fish, and crabs",Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45670
1982.1.5,明   徐敬   嵗寒清白圖   軸|The Pure Whiteness of Winter,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45671
14.76.1,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45672
1989.363.45,明  佚名  舊傳李唐  四時山水圖  卷|The Four Seasons,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45673
13.220.18,明　佚名　舊傳夏珪　長江萬里圖　卷 (後半)|Second half of Ten Thousand Li of the Yangzi River,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45674
1989.363.44,明  姚綬  文飲圖  卷|Drinking and Composing Poetry,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45675
1993.385,明  林良  二鷹圖  軸|Two hawks in a thicket,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45676
47.18.41,元     佚名     倣夏永    呂洞賓過岳陽樓    冊頁|明   佚名   呂洞賓過岳陽樓圖   冊頁|The Immortal Lü Dongbin Appearing over the Yueyang Pavilion,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45677
47.18.16,明  蔣嵩  漁舟弄笛圖  軸|Fisherman Playing a Flute,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45678
47.18.110,明  佚名  傳蔣嵩  漁樂圖  軸|Fishing Boats on the River,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45679
55.124,明　傳蔣嵩　冬景山水圖　卷|Winter landscape,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45680
47.18.37,明   佚名   風雨艤舟圖   團扇|Misty Landscape,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45681
1989.363.46,明  沈周  秋林閒釣圖  軸|Silent fisherman in an autumn wood,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45682
1979.75.1,明 沈周 溪山秋色圖 卷|明  沈周  溪山秋色圖  卷明  楷書溪山秋色圖  引首|Autumn Colors among Streams and Mountains,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45683
1982.205,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45685
14.76.20,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45686
"29.100.448, .449",筆者不詳　竹林七賢図|Seven Sages of the Bamboo Grove,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45687
14.76.52,八仙図|Eight Daoist Immortals Welcoming Jurōjin,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45689
14.76.53,八仙図|Eight Daoist Immortals Welcoming Jurōjin,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45690
29.100.474,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45691
14.76.13,山水図|River Landscape in Evening,Muromachi period (1392–1573) or Momoyama period (1573–1615),Paintings,http://www.metmuseum.org/art/collection/search/45692
"57.157.1, .2",伝狩野山楽筆　粟に小禽図屏風|Autumn Millet and Small Birds,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45693
29.100.495a–f,伝狩野永徳筆　唐美人唐子図屏風|Chinese Women and Children in a Palace Garden,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45695
29.100.450,,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45696
29.100.451,,Muromachi period (1392–1573),Paintings,http://www.metmuseum.org/art/collection/search/45697
14.76.26,狩野探幽筆　神農・夏冬山水図|Winter Landscape,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45698
14.76.27,狩野探幽筆　神農・夏冬山水図|Portrait of Emperor Shennong,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45699
14.76.28,狩野探幽筆　神農・夏冬山水図|Summer Landscape,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45700
14.76.62a–f,狩野探幽・狩野尚信・清原雪信　花鳥図屏風|Birds and Flowers,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45701
14.140.5,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45702
14.140.6,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45703
14.140.7,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45704
14.140.8,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45705
14.140.9,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45706
14.140.11,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45708
14.140.12,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45709
14.140.13,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45710
14.140.14,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45711
14.140.15,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45712
14.140.16,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45713
14.140.17,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45714
14.140.18,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45715
14.140.19,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45716
14.140.20,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45717
14.140.21,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45718
14.140.22,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45719
36.100.88,狩野常信筆　楊貴妃吹笛図|Yang Guifei Playing a Flute,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45721
36.100.89,狩野常信筆　燕子花に鴛鴦図|Mandarin Ducks and Iris,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45722
29.100.1398a–j,十鷹書画冊|Album of Hawks and Calligraphy,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45723
14.76.23–.25,"八仙猿鶴図|Eight Daoist Immortals, Cranes, and Gibbons",Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45724
36.100.78,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45727
36.100.6,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45728
66.149,狩野周信筆　秋冬花鳥図屏風|Birds and Flowers of Autumn and Winter,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45729
36.100.7,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45730
1975.268.56,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45731
36.100.33,英一蝶筆 地蔵菩薩図|Jizō Bosatsu,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45733
36.100.45,粟に鶉図|Quail and Millet,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45734
36.100.32,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45735
36.100.99,西王母図|Queen Mother of the West,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45736
14.76.14,狩野探水守常筆　蓬莱山・瀟湘八景図|Mount Penglai with Eight Views of Xiao and Xiang,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45737
14.76.16,狩野探水守常筆　蓬莱山・瀟湘八景図|Mount Penglai with Eight Views of Xiao and Xiang,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45738
1975.268.54,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45739
47.56,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45743
"1972.180.1, .2",,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45744
52.126.24,Musashino|Mount Yoshino,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45745
1989.363.53,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45752
57.70.5,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45753
1981.4.2,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/45754
57.52.2,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/45755
